feature,importance
days_since_last_arm_il,55
season_apps,52
season_outs,35
rest_mean_100d,18
rest_std_100d,16
age,15
apps_100d,13
career_apps,11
career_outs,8
ext_100d,7
fb_share_100d,7
season_pitches,6
past_arm_il_count,6
career_pitches,6
velo_60d,5
spin_delta_14_100,5
velo_100d,4
start_frac_14d,3
acwr_pitches_14_60,3
career_start_frac,3
outs_60d,3
outs_100d,2
spin_60d,2
ext_60d,2
ext_28d,2
apps_60d,2
velo_28d,2
outs_28d,2
fb_share_14d,2
pitches_100d,1
short_rest_count_30d,1
fb_share_delta_14_100,1
pitches_14d,1
acwr_outs_7_28,1
spin_28d,1
spin_100d,1
apps_14d,1
outs_14d,1
start_frac_60d,1
apps_28d,1
spin_14d,0
pitches_60d,0
p_throws,0
pitches_7d,0
outs_7d,0
apps_7d,0
start_frac_7d,0
velo_7d,0
fb_share_28d,0
ext_7d,0
spin_7d,0
fb_share_7d,0
ext_14d,0
ext_delta_14_100,0
velo_delta_14_100,0
start_frac_28d,0
acwr_pitches_7_28,0
pitches_28d,0
fb_share_60d,0
velo_14d,0
start_frac_100d,0
role,0
